iter	MultiClass
0	1.65673891311	1.44581892122	1.27235228233	1.18439628444	1.05785882555	0.985539116	66	0.939265375777	0.88906089888	0.835809914199	0.7892076651110	0.7465597291111	0.7129689551112	0.6765578763113	0.6514661484114	0.6237164941115	0.6031648756116	0.6023216217117	0.5801082118	18	0.5570477919	0.529401336
20	0.5166343937
21	21	0.5026161622222	0.4913503023223	0.4856200024	24	0.4708591025	25	0.4664999026	26	0.454630992727	0.4511586628	28	0.438006429	029	0.431265030	30	0.4237396231	31	0.4183708232	0.4237371201
33	0.4202780564
34	0.4166512621
35	0.4118600712
36	0.4068300578
37	0.4048217476
38	0.4026326249
39	0.4026299225
40	0.4016190891
41	0.3959154856
42	0.3928664641
43	0.3915687484
44	0.389035186
45	0.3869755927
46	0.3866757088
47	0.3850885367
48	0.3847134745
49	0.3822470296
50	0.3801585098
51	0.3786190832
52	0.3765930486
53	0.3722575584
54	0.3691669083
55	0.3687207564
56	0.3656674835
57	057	0.342788158	058	0.341085659	059	0.339474060	0.3615367123
61	0.3597212334
62	62	0.3351725063	63	0.3348063464	64	0.333254565	065	0.332265166	0.3515385536
67	067	0.331533668	068	0.330123369	069	0.32970	070	070	0.32897771	0.71	0.32691172	0.3461052565
73	0.3440270454
74	0.74	0.32375	75	0.75	0.3276	0.322876	0.3277	0.321077	0.3197051708
78	0.3176099522
79	0.3163725907
80	0.3159108436
81	0.3137357341
82	0.3114494891
83	0.310600782
84	0.3095274429
85	0.3082722977
86	0.3068341443
87	0.3050762207
88	0.3033604735
89	0.3031387461
90	0.3025205535
91	0.3008056057
92	0.3000405079
93	0.297617869
94	0.2966405547
95	0.2949836981
96	0.2934456898
97	0.2918650328
98	0.2899989795
99	0.2893832757
100	0.2882440267
101	0.2873635988
102	0.2864539877
103	0.2849384915
104	0.2835388549
105	0.2818434256
106	0.2805507768
107	0.2791554294
108	0.2780701135
109	0.2762305571
110	0.2750889517
111	0.2737133935
112	0.2725235627
113	0.2713819037
114	0.2706157309
115	0.2700092129
116	0.2690694372
117	0.2682473682
118	0.2664446573
119	0.2655520767
120	0.2644059756
121	0.2637378513
122	0.2628097172
123	0.2620452547
124	0.2608372593
125	0.2598505557
126	0.2589227675
127	0.257646262
128	0.2570092403
129	0.256218039
130	0.255118219
131	0.2545194353
132	0.2535692062
133	0.2525927185
134	0.2518334634
135	0.2511168628
136	0.2503089819
137	0.2495302907
138	0.2489784806
139	0.2480710489
140	0.2474284245
141	0.2468455241
142	0.2462043786
143	0.2454966377
144	0.2450104958
145	0.2442180305
146	0.2437116564
147	0.2432292851
148	0.2424743712
149	0.2419877382
150	0.2416699668
151	0.2410646126
152	0.2403969952
153	0.239829685
154	0.2393195637
155	0.238565046
156	0.2379810117
157	0.2373435251
158	0.2366079664
159	0.2360889788
160	0.2356858246
161	0.2352482645
162	0.2343991358
163	0.2340017493
164	0.233203242
165	0.2325644092
166	0.2321593324
167	0.2316767487
168	0.2311733444
169	0.2308341217
170	0.230512953
171	0.2298909041
172	0.2292339656
173	0.2287274842
174	0.2282408479
175	0.2279019481
176	0.2275549022
177	0.2272256522
178	0.2267736865
179	0.2261412369
180	0.2256338315
181	0.2252826183
182	0.2249370834
184	0.2313219531
185	0.2308350393
185	0.2239207621
186	0.2235324118
187	0.2230978175
188	0.2225391549
189	0.2219875461
190	0.2212951958
191	0.2208770915
192	0.2203141887
193	0.2195866006
194	0.2191113118
195	0.2188418885
196	0.2182811647
197	0.2180437402
198	0.2178134819
199	0.2174366039
200	0.2169724773
201	0.2166747059
202	0.216365271
203	0.2160448189
204	0.215618778
205	0.2152253071
206	0.2150090645
207	0.2146940869
208	0.2142874993
209	0.2140535307
210	0.2135590434
211	0.2132774031
212	0.2127980781
213	0.2124495567
214	0.2121844355
215	0.2118365
216	0.2116054747
217	0.2112374951
218	0.2108158417
219	0.2105307359
220	0.2101199565
221	0.2095561955
222	0.2092360609
223	0.208867493
224	0.2084577679
225	0.2080752878
226	0.2078088735
227	0.2074999907
228	0.2068718462
229	0.206471236
230	0.2059319323
231	0.2053003535
232	0.2049301654
233	0.2045161411
234	0.2042142509
235	0.2037738867
236	0.2034927133
237	0238	0.2091238	0.2239	0.2087239	0.2240	0.2085240	0.2241	0.2082241	0.2242	0.2078242	0.2243	0.2074243	0.2244	0.2072244	0.2245	0.2068245	0.246	0.20655246	0.247	0.2062247	0.2248	0.2059248	0.2249	0.2055249	0.2250	0.2051250	0.1251	0.2049251	0.1996091225
252	0.1253	0.2043253	0.254	0.20419254	0.255	0.20367255	0.256	0.20354256	0257	0.20317257	0.258	0.20297258	0.259	0.20250259	0.260	0.202260	0.19261	0.201261	0.19262	0.201262	0.1263	0.2011263	0.1264	0.2006264	0.1265	0.2001265	0.1266	0.1998266	0.1267	0.1995267	0.1268	0.199268	0.19269	0.199269	0.19270	0.198270	0.1271	0.1986271	0.1272	0.1983272	0.1273	0.198273	0.19274	0.197274	0.19275	0.197275	0.19276	0.197276	0.19277	0.197277	0.278	0.19685278	0.279	0.1963279	0.1280	0.1960280	0.1281	0.1957281	0.1282	0.1954282	0.1283	0.1950283	0.1284	0.1948295187
285	0.1945341327
286	0.1939816028
287	0.1938301721
288	0.1936836916
289	0.1933902176
290	0.1930787611
291	0.192821408
292	0.1926033487
293	0.1924950941
294	0.1923161377
295	0.1920818623
296	0.1919090404
297	0.1916705114
298	0.1914076828
299	0.1910518605
300	0.1906533797
301	0.190437017
302	0.1902131132
303	0.1899211751
304	0.1897635259
305	0.1896019136
306	0.1894638349
307	0.1892144811
308	0.1889538654
309	0.1886918376
310	0.1884095582
311	0.1880355339
312	0.1877455123
313	0.1874372086
314	0.1869831405
315	0.1866411727
316	0.1864220231
317	0.1861970222
318	0.1860290529
319	0.1857207608
320	0.1855892331
321	0.1851351581
322	0.1848312614
323	0.1846261597
324	0.1843180844
325	0.183899047
326	0.1835205659
327	0.1833272396
328	0.1831233805
329	0.1829163203
330	0.1827346046
331	0.1825513261
332	0.1823626302
333	0.1821508379
334	0.1818046066
335	0.1816445241
336	0.1814809468
337	0.1812340398
338	0.181077371
339	0.1807178885
340	0.180656205
341	0.18054752
342	0.1803099911
343	0.1800824118
344	0.1797330667
345	0.1795797644
346	0.1793443418
347	0.1791704175
348	0.1788131414
349	0.1786400599
350	0.1784484159
351	0.1781893475
352	0.1779065168
353	0.177694897
354	0.1774668413
355	0.1772113359
356	0.1770526551
357	0.1767092091
358	0.1765205458
359	0.1763375091
360	0.1760480155
361	0.1757774517
362	0.1755467133
363	0.1753263034
364	0.1751484163
365	0.1750383672
366	0.1748102777
367	0.1746764745
368	0.1743722369
369	0.1742364386
370	0.1739813427
371	0.1737480848
372	0.1736336321
373	0.1735325911
374	0.1731867899
375	0.1730063674
376	0.172834458
377	0.1727093287
378	0.1725213146
379	0.1724047327
380	0.1722961148
381	0.1718927152
382	0.1716556132
383	0.1714638795
384	0.1712945872
385	0.1710151565
386	0.1708385655
387	0.1706172145
388	0.1703901934
389	0.1701885533
390	0.1700334023
391	0.1698421019
392	0.1696364411
393	0.1695097845
394	0.1693551738
395	0.169089567
396	0.1687822534
397	0.1686424956
398	0.1684160272
399	0.1681787632
400	0.1680779501
401	0.1679938924
402	0.1678910072
403	0.1677152088
404	0.1675195322
405	0.1674348335
406	0.1672143511
407	0.1669554215
408	0.1668074852
409	0.1665036869
410	0.1663540619
411	0.1661722462
412	0.1658326122
413	0.1657099685
414	0.1655220802
415	0.165405083
416	0.1650502317
417	0.1648633931
418	0.1646514881
419	0.164504597
420	0.1643842408
421	0.1642039634
422	0.1640501299
423	0.1639827403
424	0.1638058828
425	0.163535648
426	0.1633532227
427	0.1631340486
428	0.1629145175
429	0.1627666907
430	0.1626314897
431	0.1624385699
432	0.1622419907
433	0.1620372712
434	0.1618409154
435	0.1617050245
436	0.1614734932
437	0.1612275487
438	0.1610715812
439	0.1607925485
440	0.1607045632
441	0.1605837318
442	0.1604667115
443	0.1603168503
444	0.1601130059
445	0.159987463
446	0.159819825
447	0.1596416504
448	0.1594893973
449	0.1593680278
450	0.1592371371
451	0.1591035041
452	0.158964819
453	0.1587795006
454	0.1585996254
455	0.1584243253
456	0.1583677527
457	0.1581473861
458	0.1579944193
459	0.1578409295
460	0.157617604
461	0.1575024789
462	0.1574012925
463	0.1572506584
464	0.1571822638
465	0.1570302952
466	0.1569001668
467	0.15678021
468	0.1566407462
469	0.1564637369
470	0.156324526
471	0.1562442832
472	0.1559828731
473	0.1557731553
474	0.1556778272
475	0.155512762
476	0.1553751054
477	0.1553090494
478	0.1551736678
479	0.1550346189
480	0.1548834914
481	0.1547705404
482	0.154371308
483	0.1541405179
484	0.1539454042
485	0.1537835885
486	0.153589223
487	0.1535321765
488	0.1533200982
489	0.1530610272
490	0.1529338928
491	0.152776553
492	0.1526423117
493	0.1525239196
494	0.15221112
495	0.1520541288
496	0.1517934995
497	0.1516206825
498	0.1514704961
499	0.1513482185
500	0.1512343802
501	0.1509722031
502	0.1508622632
503	0.1507175743
504	0.1505651741
505	0.1503766062
506	0.1502653829
507	0.1500792437
508	0.1499815269
509	0.1498163793
510	0.1496654431
511	0.1496095911
512	0.1495234497
513	0.1493085996
514	0.149228126
515	0.1490770761
516	0.1489211719
517	0.1487328115
518	0.1486368368
519	0.1484812043
520	0.1483766816
521	0.1482847277
522	0.1479746924
523	0.1477062468
524	0.1476012808
525	0.14745132
526	0.1473343842
527	0.1472028166
528	0.1470502171
529	0.1469284034
530	0.1468167869
531	0.1467404906
532	0.1466041618
533	0.1464942406
534	0.1463856189
535	0.1461835112
536	0.1459889327
537	0.1458767482
538	0.1457187779
539	0.1455315409
540	0.1454439222
541	0.1453217295
542	0.1452242648
543	0.1450915717
544	0.1448791663
545	0.1448172155
546	0.1446228379
547	0.144418312
548	0.1441607615
549	0.143996537
550	0.1438454873
551	0.1437533981
552	0.1435753463
553	0.1434522477
554	0.1433791165
555	0.1432659402
556	0.14311829
557	0.1429503268
558	0.1428958253
559	0.1428022572
560	0.1426664081
561	0.1425500926
562	0.142457112
563	0.1423751737
564	0.1423287268
565	0.1420284613
566	0.1418276993
567	0.141731286
568	0.1416475055
569	0.1415072262
570	0.1413409935
571	0.1411472172
572	0.1410374397
573	0.1409269232
574	0.140636051
575	0.1405003352
576	0.1403461885
577	0.1401958792
578	0.1401003824
579	0.1399860548
580	0.1398257928
581	0.139587115
582	0.1394551646
583	0.1392200706
584	0.1390378207
585	0.1388625072
586	0.1387618629
587	0.13860934
588	0.1385186454
589	0.1383568391
590	0.1382457322
591	0.1381885051
592	0.1380022777
593	0.1378079649
594	0.1377026617
595	0.1376067681
596	0.1375124499
597	0.137340665
598	0.1372084465
599	0.1370499535
600	0.1368807633
601	0.1368073749
602	0.1366103892
603	0.1364583651
604	0.1363075541
605	0.1362399529
606	0.1361257688
607	0.1358689837
608	0.13574651
609	0.1355159388
610	0.1353412432
611	0.1352057826
612	0.1351635804
613	0.1350469209
614	0.1348859494
615	0.1346835011
616	0.1345875127
617	0.1344665064
618	0.1342242309
619	0.1341414473
620	0.1340095574
621	0.1339487917
622	0.1337782753
623	0.1336422869
624	0.1334736392
625	0.133329489
626	0.133120427
627	0.1328966682
628	0.132727541
629	0.1326803677
630	0.1325673684
631	0.132402534
632	0.1322896941
633	0.1322409787
634	0.1321520044
635	0.1320254564
636	0.1319688816
637	0.1317186359
638	0.1316115847
639	0.1315232431
640	0.1314308335
641	0.1311529472
642	0.1309869783
643	0.1308906778
644	0.1307107012
645	0.1304830696
646	0.1303260202
647	0.1302122739
648	0.1301496452
649	0.1300112899
650	0.1298963986
651	0.1297732155
652	0.1296782057
653	0.1295616915
654	0.12937668
655	0.1291974849
656	0.1291013185
657	0.1290024449
658	0.1288788709
659	0.1287631385
660	0.1286704866
661	0.1283991087
662	0.1282666376
663	0.1281454508
664	0.127913733
665	0.1277683566
666	0.1276230545
667	0.1274895007
668	0.1273356835
669	0.1272297517
670	0.1271104206
671	0.1269461816
672	0.1268840265
673	0.1267638117
674	0.1265123183
675	0.1263818745
676	0.1262287527
677	0.1260870105
678	0.1260140838
679	0.1258620232
680	0.1256968277
681	0.1255582655
682	0.1254771991
683	0.125341902
684	0.1252576702
685	0.1251573767
686	0.1250011492
687	0.1248672595
688	0.1247759394
689	0.1246976306
690	0.1245953943
691	0.1244842106
692	0.124328164
693	0.1242219447
694	0.1241186932
695	0.1240475175
696	0.1238926096
697	0.1237499353
698	0.123682301
699	0.1235370663
700	0.1234176129
701	0.1233706892
702	0.123214796
703	0.1230910811
704	0.1228272887
705	0.1227360654
706	0.1225926571
707	0.1224995111
708	0.122409077
709	0.1222543241
710	0.1221661289
711	0.1219831871
712	0.121921842
713	0.1217368617
714	0.1215728267
715	0.1213778839
716	0.121307818
717	0.1211256157
718	0.1209352692
719	0.120863669
720	0.1207780621
721	0.1206529359
722	0.1204881692
723	0.1203509471
724	0.1202871591
725	0.1202337427
726	0.1200451898
727	0.1198924466
728	0.1198510527
729	0.1196742941
730	0.1196043751
731	0.1195033281
732	0.1193725996
733	0.1192425916
734	0.1191482917
735	0.1189428129
736	0.1188469412
737	0.1186730725
738	0.1185791169
739	0.1185142371
740	0.1183955674
741	0.1183313526
742	0.1181254639
743	0.1179885057
744	0.1178433263
745	0.1177753175
746	0.1176697782
747	0.1175915049
748	0.1174265688
749	0.1173730834
750	0.117282608
751	0.1171831475
752	0.1170423291
753	0.1169338255
754	0.1167475085
755	0.1166410629
756	0.1165649126
757	0.1164527283
758	0.1163425009
759	0.1162719293
760	0.116095436
761	0.1160126418
762	0.1159231399
763	0.1157615291
764	0.1156823812
765	0.1156141332
766	0.1154685627
767	0.1153611864
768	0.1152943864
769	0.1152361248
770	0.1151574977
771	0.1150443267
772	0.114917153
773	0.1148385642
774	0.1147447964
775	0.114716045
776	0.1146421648
777	0.1145396164
778	0.1144490432
779	0.1143793695
780	0.1142652916
781	0.1142030169
782	0.1140974095
783	0.1139764366
784	0.1139266167
785	0.1137774291
786	0.1136836597
787	0.1135856809
788	0.1134013422
789	0.1132868189
790	0.1131272737
791	0.113065985
792	0.1129210554
793	0.1127601366
794	0.1126919267
795	0.1126136234
796	0.1125529014
797	0.1124418043
798	0.1123846896
799	0.1122624837
800	0.1121647147
801	0.1120435048
802	0.1119412661
803	0.1118687426
804	0.1116667974
805	0.111487657
806	0.1113800312
807	0.1112475326
808	0.1110909449
809	0.1110084953
810	0.1109383864
811	0.1108681956
812	0.1107847304
813	0.1106973446
814	0.1105900811
815	0.1105536761
816	0.1104755857
817	0.1103925142
818	0.1102634655
819	0.1101866827
820	0.1100326687
821	0.1099648298
822	0.1098965055
823	0.1097954557
824	0.1096479629
825	0.1095118621
826	0.1094131664
827	0.1093192483
828	0.1091965126
829	0.1091384519
830	0.1090099934
831	0.1089285752
832	0.1088317288
833	0.1087570647
834	0.1086518527
835	0.108600265
836	0.1084570637
837	0.1083262735
838	0.1081958725
839	0.1080668505
840	0.1079902191
841	0.1078855929
842	0.1078234806
843	0.1077662824
844	0.1076544296
845	0.1076132095
846	0.1075267629
847	0.1074569123
848	0.1073834568
849	0.1073158108
850	0.1072788775
851	0.107170855
852	0.1071476716
29337116
852	0.1028892539
